habitatID,habitatLevel,habitatType,habitatDetails
F5.511,5,Oleo-lentisc brush,"Usually pluri-specific scrub in which [Olea europaea var. sylvestris] accompanied by [Pistacia lentiscus] plays a determinant physiognomic role. Almost entirely restricted to the thermo-Mediterranean zone, they are represented by particularly well-developed, extensive stands in southern Iberia, the Balearics, Sardinia, Sicily, southern Greece and the Aegean, Mediterranean Anatolia, Cyprus and the Levant, North Africa. When the characteristic species increase in height they grade into arborescent matorral (unit F5.12)."
F5.512,5,Thermo-Mediterranean heath-garrigues,"Formations dominated by the thermophile, often calciphile, heathers [Erica multiflora] and [Erica manipuliflora], best developed in the thermo-Mediterranean zones of southern and eastern Spain, the Balearics, Sardinia, Sicily, Pantelleria, southern Italy, southern Greece and the Aegean, Mediterranean Anatolia, Cyprus and coastal Mediterranean North Africa. Western meso-mediterranean formations are listed under unit F6.1B, eastern meso-Mediterranean formations under unit F6.2C."
F5.5121,6,Western [Erica multiflora] heath-garrigues,"Usually calciphile [Erica multiflora] formations of the Iberian and Italian peninsulas, the large western Mediterranean islands and coastal Mediterranean North Africa."
F5.5122,6,Western [Erica manipuliflora] heath-garrigues,"Rare, calciphile [Erica manipuliflora] formations of Puglia and Sicily."
F5.5123,6,Eastern [Erica manipuliflora] heath-garrigues,"[Erica manipuliflora] formations of Greece and its archipelagoes, Mediterranean Anatolia, Cyprus."
F5.513,5,Thorny burnet brush,Non-cushion formations dominated by [Sarcopoterium spinosum] of the eastern Mediterranean.
F5.514,5,Lentisc brush,"[Pistacia lentiscus] -dominated or -rich formations, widespread and abundant in thermo-Mediterranean and coastal meso-Mediterranean zones of the entire Mediterranean basin; locally, similar formations may appear in warm inland meso-Mediterranean areas. Often low and sometimes very open, the lentisc scrub can in favourable situations reach a height of several metres, grading into arborescent matorral (unit F5.123). "
F5.515,5,[Calicotome] brush,"Thermo-mediterranean formations physiognomically dominated by the brilliantly flowering [Calicotome villosa] or [Calicotome spinosa], widespread in European thermo-mediterranean regions, in the Levant, in particular on sandy plains and in pre-steppic areas, and in North Africa, notably in semi-arid areas of northeastern Tunisia and northeastern Libya."
F5.516,5,Laurel thickets,"[Laurus nobilis] thickets of humid or fresh stations of thermo-mediterranean regions, low-growing facies of unit F5.18, noted in particular in Sardinia, Sicily, the Maltese Islands, Campania and Crete."
F5.517,5,Coastal curry plant ([Helichrysum]) garrigues,"Low formations of [Helichrysum] ([Helichrysum italicum ssp. microphyllum], [Helichrysum italicum ssp. italicum]) with spurges ([Euphorbia pithyusa], i.a.), [Pistacia lentiscus], [Camphorosma monspeliaca], [Artemisia densiflora] or [Thymelaea passerina], [Thymelaea hirsuta], [Thymelaea tartonraira] of the immediate vicinity of sea cliffs, forming the transition between cliff vegetations or clifftop phryganas and thermo-Mediterranean scrub; they are particularly characteristic of the large Mediterranean islands."
F5.5171,6,Iberian thermo-Mediterranean kermes oak brush,"Formations of [Quercus coccifera] of southern Portugal, southern and eastern Spain and the Ebro basin."
F5.5172,6,Tyrrhenian thermo-Mediterranean kermes oak brush,"Rare [Quercus coccifera] formations of Liguria, Corsica, Sardinia and Sicily."
F5.5173,6,Hellenic thermo-Mediterranean kermes oak brush,Formations of [Quercus coccifera] of the thermo-Mediterranean zone of Greece and its archipelagoes.
F5.5174,6,Anatolian thermo-Mediterranean kermes oak brush,Formations of [Quercus coccifera] of the thermo-Mediterranean zone of the periphery of the Anatolian plateau. 
F5.5175,6,Cyprian thermo-Mediterranean kermes oak brush,Formations of [Quercus coccifera] of the thermo-Mediterranean zone of Cyprus. 
F5.5176,6,Levantine thermo-Mediterranean kermes oak brush,Formations of [Quercus coccifera] of the thermo-Mediterranean zone of the eastern Mediterranean coastal fringe. 
F5.5177,6,North African thermo-Mediterranean kermes oak brush,Formations of [Quercus coccifera] of the thermo-Mediterranean zone of North Africa. 
F5.518,5,Myrtle thickets,"[Myrtus communis]-dominated thickets. Particularly noteworthy formations occur in the Balearics ([Clematidi-Myrtetum]), in southern Iberia, in Sardinia, in the Aegean, in the eastern Mediterranean coastal regions, in North Africa. Myrtle thickets can in favourable situations reach a height of a few metres, grading into arborescent matorral (unit F5.124). "
F5.519,5,Thermo-Mediterranean kermes oak brushes,"[Quercus coccifera] thickets of the Mediterranean basin rich in thermo-Mediterranean elements, in particular, [Pistacia lentiscus], [Chamaerops humilis], [Rhamnus lycioides ssp. lycioides], [Rhamnus lycioides ssp. oleoides], [Asparagus albus], [Asparagus acutifolius], [Bupleurum gibraltarium]."
F5.51A,5,[Phillyrea] thickets,"[Phillyrea angustifolia] or [Phillyrea media]-dominated thermo-Mediterranean brushes; they constitute facies of mixed thermo-Mediterranean scrub, in particular of the southern Iberian [Asparago-Rhamnion] and of the Aegean [Ceratonio-Rhamnion], notably on Samothrace and Rhodes; they also constitute remarkable coastal formations on Minorca, based on the endemic [Phillyrea media var. rodriguezii], and in Valencia."
F5.51A1,6,Minorcan [lentiscares],Thickets of [Phillyrea media var. rodriguezii] of wind-beaten coastal areas of Minorca.
F5.51A2,6,Valencian [mata],"Thickets of [Phillyrea angustifolia], [Pistacia lentiscus], [Quercus coccifera], [Rhamnus lycioides ssp. oleoides var. angustifolia], [Rhamnus alaternus] of fixed dunes of Valencia. They are almost extinct, surviving only in the Dehesa de la Albufera. The code should be used in conjunction with unit B1.64."
F5.51A3,6,Western [Phillyrea] thickets,"[Phillyrea angustifolia] or [Phillyrea latifolia]-dominated facies of mixed thermo-Mediterranean thickets of the westerm Mediterranean basin, with the exception of the coastal [Phillyrea] thickets of Minorca and Valencia."
F5.51A4,6,Eastern [Phillyrea] thickets,[Phillyrea angustifolia] or [Phillyrea latifolia]-dominated formations of the eastern Mediterranean basin.
F5.51B,5,Buckthorn-asparagus brushes,"Thermo-mediterranean formations in which [Asparagus] spp. and/or [Rhamnus] spp., in particular [Rhamnus lycioides], predominate."
F5.51C,5,[Osyris] brushes,Formations dominated by [Osyris alba] or [Osyris tripartita].
F5.51D,5,Storax thickets,[Styrax officinalis]-dominated formations of thermo- and meso-mediterranean areas of the eastern Mediterranean basin.
F5.51E,5,[Buxus balearica] box thickets,"[Buxus balearica] formations of coastal regions of Andalusia, bordering the Sea of Alboran, and of the Balearics."
F5.51F,5,Dwarf oak scrub,"Formations of the semievergreen shrub [Quercus fruticosa] ([Quercus humulus]), endemic of southern and southwestern Iberian and the Moroccan Tang‚rois; they are located in southern Portugal, western Andalusia and in the lower elevations of the western Rif, at around 500 m (j. Kbir, j. Zem-zem, j. Khezana)."
F5.51G,5,Tall spiny broom brush,"Scrub dominated by tall, spiny species of [Genista]."
F5.51H,5,Corema brush,"[Corema album]-dominated formations of the southwestern coasts of the Iberian peninsula. Most of them are dunal and can be listed under unit B1.64, completed by this code. They often constitute the hem of juniper woodland or thickets."
F5.51I,5,Thermo-Mediterranean juniper brushes,"Formations rich in thermo-mediterranean elements dominated by prostrate or low shrubby [Juniperus oxycedrus] or [Juniperus phoenicea]. Many of them are dunal and can be listed under unit B1.64, completed by this code. See also unit F5.5B. "
F5.51J,5,Thermo-Mediterranean wormwood brushes,"[Artemisia arborescens] scrub of the Tyrrhenian islands and peninsular Italy, the Iberian peninsula, Mediterranean North Africa, the southern Balkans, Greece and Crete, Mediterranean Asia Minor."
F5.51K,5,Thermo-Mediterranean Jupiter's beard brushes,"[Anthyllis barba-jovis] scrub of thermo-Mediterranean rocky coastal slopes often associated with coastal phrygana and [Euphorbia dendroides] formations, of eastern Spain, Provence, Corsica, Sardinia, Sicily, the Adriatic coast of the Balkan peninsula, mainland Greece and Crete."
F5.51L,5,Coastal dwarf leguminous garrigues,"Local low thermo-Mediterranean formations of calcareous coasts of Corsica, Sardinia, Sicily and the west Mediterranean mainland of Europe and Africa, dominated by leguminous subshrubs of [Dorycnium] or [Coronilla]."
F5.52,4,Tree-spurge ([Euphorbia dendroides]) formations,"Stands of [Euphorbia dendroides], remarkable tertiary relict of Macaronesian origin; they occur as a facies of the thermo-Mediterranean scrub of the Balearics, Corsica, Sardinia, Sicily, Islas Eolie, Egadi, Pelagi, Pantelleria, Crete, and, very locally, of those of the coasts of northern Catalonia, southeastern France, peninsular Italy and its islands, central Greece, notably on slopes facing the gulf of Corinth, the Peloponnese, the Aegean archipelagoes, Albania and enclaves of the Mediterranean periphery of Anatolia and the Levant. Particularly extensive and robust stands occur in Sicily, Sardinia and Crete where they may extend to relatively high altitudes. Very local formations in Mediterranean North Africa occupy the steep rocky slopes of some coastal capes and isolated inland sites, in Cyrenaica, northern Tunisia (Ichkeul), and in a narrow coastal strip in northern Algeria."
F5.53,4,Diss ([Ampelodesmos]) -dominated garrigues,"Garrigues invaded and dominated by the high tussocks of [Ampelodesmos mauritanica]; typically thermo-Mediterranean, they also occur extensively in the meso-Mediterranean zone. They are most prevalent on the Tyrrhenian coast of central and southern Italy, in Sicily, in the Mediterranean zone and the less arid parts of the Saharo-Mediterranean transition zone of North Africa. "
F5.54,4,Palmetto brush,"[Chamaerops humilis]-dominated formations; other thermo-Mediterranean scrub or garrigues rich in the physiognomically important palmetto can be identified by a combination of this code and that of the other appropriate subdivision of unit F5.5. Palmetto brushes are best represented in the coastal areas of southwestern, southern and eastern Iberia, the Balearics, Sicily and its satellite islands and Mediterranean North Africa, with more sporadic occurrences in the Guadalquivir basin, Sardinia, and the Tyrrhenian coasts and islands of peninsular Italy. They are apparently extinct in the wild in the Maltese Islands."
F5.55,4,Mediterranean pre-desert scrub,"Shrub formations constituting, with the halo-nitrophilous scrubs (unit F6.824) and the localized gypsum scrubs (unit F6.73), much of the natural and semi-natural vegetation of the arid zone of southeastern Spain (Almeria, Murcia, Alicante), a highly distinctive region of unique climatological, biological and landscape character within Europe, extremely rich in African and endemic species. Several of the most remarkable formations remain in only a few undisturbed localities and are gravely at risk. Similar formations occur in the upper arid (Mediterranean arid) zone of North Africa. Outposts of these communities also exist in Sicily, the Egadi islands, the Pelagie islands, the Maltese Islands and Pantelleria."
F5.551,5,Iberian jujube brush,"Communities dominated by hummocks of the lotus tree [Ziziphus lotus], usually with [Lycium intricatum], [Withania frutescens], [Asparagus albus], [Asparagus stipularis], [Rhamnus lycioides], of the arid Iberian Southeast. Very tall stands can be coded as unit F5.17."
F5.552,5,Sicilian jujube brush,[Ziziphus lotus] formations of western Sicily.
F5.553,5,[Maytenus] brushes,"More or less dense, spiny scrub limited to very restricted areas of the Almerian and Carthagenian coasts of the arid Iberian Southeast, dominated by the shrub of African affinities [Maytenus senegalensis var. europaeus] with [Rhamnus oleoides ssp. angustifolia] and [Rhamnus oleoides ssp. velutinus], [Asparagus albus], [Asparagus stipularis], [Asparagus horridus], [Chamaerops humilis] and occasionally [Buxus balearica]."
F5.554,5,Iberian [Periploca] scrubs,"Open, sometimes sparse brush dominated by [Periploca laevigata ssp. angustifolia] with [Osyris quadripartita], [Chamaerops humilis], [Pistacia lentiscus], [Rhamnus lycioides] and locally [Calicotome infesta ssp. intermedia], [Tetraclinis articulata], [Maytenus senegalensis] or [Lycium intricatum], limited to very arid coastal areas of Murcia and Almeria."
F5.555,5,Sicilian Channel [Periploca] scrubs,"Summer deciduous shrub formations of [Periploca laevigata ssp. angustifolia], [Lycium intricatum], [Euphorbia dendroides] with [Prasium majus], [Pistacia lentiscus], [Asparagus acutifolius], [Phillyrea angustifolia], [Calicotome villosa] of islands of the Sicilian Channel, in particular of the southwestern coast of Pantelleria, of the Maltese Islands and of the Egadi Islands."
F5.556,5,Iberian tall arid brushes,"Communities essentially endemic to the province of Almeria, constituted by [Phlomis purpurea ssp. almeriensis], [Phlomis caballeroi], [Genista spartioides ssp. retamoides], [Genista umbellata], [Genista ramosissima], [Genista cinerea ssp. valentina], [Launaea arborescens], [Launaea lanifera], [Lavatera oblongifolia], [Linum suffruticosum], [Salsola webbii], [Salvia candelabrum], [Sideritis foetens], [Thymelaea tartonraira], [Ulex parviflorus ssp. canescens], [Frankenia webbii], [Anthyllis terniflora]. Formations belonging to this alliance dominated by large, non-spiny brooms are listed separately under unit F5.56."
F5.5561,6,[Salsola webbii] brush,"Tall brush communities of arid slopes at the base of coastal mountains with [Salsola webbii], [Launaea arborescens], [Anthyllis terniflora], [Frankenia webbii], [Echium pycnanthum]."
F5.5562,6,Sideritis brush,"Montane brush of sunny calcareous slopes of the Sierra de Gador and the Sierra de Alhamilla, rich in endemics among which the shrubs [Sideritis foetens] and [Lavandula lanata] and the woody perennials [Salvia candelabrum], [Lavatera oblongifolia] and [Ptilostemon hispanicus]."
F5.5563,6,Gorse-phlomis scrub,"Formation endemic to the base-rich volcanic rocks of the mountains of Cabo de Gata, dominated by the gorse [Ulex argenteus ssp. erinaceus], of extraordinarily limited range, accompanied by [Phlomis purpurea ssp. almeriensis], [Phlomis caballeroi] and numerous elements of thermo-Mediterranean scrub, [Asparagus] spp., [Pistacia lentiscus], [Quercus coccifera], [Chamaerops humilis]."
F5.5564,6,[Genista umbellata] garrigues,"Open scrub rich in dwarf shrubs and dominated by the large cushions of var. [umbellata] of the remarkable, taxonomically widely isolated, southern and southeastern Spanish endemic [Genista umbellata], in association with the also cushion-forming [Thymus capitatus], [Genista spartioides ssp. retamoides], another southern Spanish endemic, and [Phlomis purpurea ssp. almeriensis]. This formation, which presents physiognomic similarities with phryganas (unit F7), constitutes a transition between the arid scrub and the thermo-Mediterranean garrigues of section F5.57, in particular those formed by the only other population of [Genista umbellata ssp. equisetiformis]). Many of the accompanying dwarf shrubs, such as [Thymus glandulosus], [Satureja obovata], [Teucrium eriocephalum], however, are Iberian Southeast endemics or preferentials."
F5.557,5,Iberian arid garrigues,"Low, open garrigues, often of steppic character, occupying mostly skeletal soils of the arid Iberian Southeast. "
F5.5571,6,Murcio-Alicantian arid garrigues,"Diverse formations of the northern part of the arid Iberian Southeast characterized by various combinations of the dwarf shrubs [Helianthemum caput-felis], [Helianthemum cinereum ssp. cinereum], [Helianthemum pilosum ssp. violaceum], [Hypericum ericoides], [Launaea pumila] and the endemic [Astragalus hispanicus], [Sideritis leucantha ssp. tragoriganum], [Teucrium pumilum ssp. carolipaui], [Thymus longiflorus ssp. moroderi]."
F5.5572,6,Almerian arid garrigues,"Very open formations limited to the areas of the Iberian Southeast with the most extreme arid conditions, characterized by [Anabasis articulata], [Frankenia webbii], [Haloxylon articulatum], [Launaea lanata], [Limonium album], [Teucrium gnaphalodes], [Sideritis pusilla ssp. flavovirens], and an exceptional number of endemics, including [Coris hispanica], [Euzomodendron bourgaeanum], [Herniaria fontanesii ssp. almeriana], [Limonium insigne], [Salsola papillosa], [Santolina viscosa], [Sideritis pusilla ssp. pusilla], [Sideritis pusilla ssp. osteoxyla], [Teucrium eriocephalum], [Teucrium almeriense]."
F5.55721,7,[Limonium-Anabasis] arid garrigues,"Formations rich in succulent plants of argillous and stony soils of Murcia and Almeria, with [Anabasis articulata] and [Limonium insigne]."
F5.55722,7,Cabo de Gata arid garrigue,"Formations of Cabo de Gata (Charidemum Promontorium) with [Teucrium charidemi], [Caralluma europaea var. confusa], [Lapiedra martinezii], [Antirrhinum charidemi], [Dianthus charidemii], [Sideritis pusilla ssp. osteoxyla], taxa for the most part endemic to the promontory."
F5.55723,7,Tabernas arid garrigues,"Species-rich formations of the arid depression between the Sierras de Gador, Filabres and Alhamilla, with [Euzomodendron bourgaeanum], [Coris hispanica], [Koelpinia linearis]."
F5.55724,7,Coastal Almerian arid garrigues,"Coastal Murcio-Almerian formations with [Teucrium gnaphalodes], [Teucrium baltasari], [Sideritis pusilla ssp. pusilla] and [Sideritis pusilla ssp. flavovirens], [Launaea nudicaulis]."
F5.56,4,Thermo-Mediterranean broom fields (retamares),"Mediterranean formations dominated by retamas ([Lygos] spp.) or by large, non-spiny thermo-mediterranean brooms of genera [Cytisus] and [Genista], limited to the Iberian peninsula, the Balearics, mediterranean North Africa, Sicily and its associated islands, the Cilento coast of Campania."
F5.561,5,Yellow retama brush,[Lygos sphaerocarpa] formations of the Iberian peninsula and Mediterranean North Africa.
F5.562,5,Ibero-Mauritanian white retama brush,[Lygos monosperma] formations of the southwestern Iberian peninsula and coastal Mediterranean North Africa.
F5.563,5,[Genista speciosa] broom fields,"Tall, open formations dominated by or rich in the endemic [Genista cinerea ssp. speciosa], with [Phlomis purpurea ssp. purpurea], [Ulex parviflorus ssp. willkommii], [Chronanthus biflorus], [Ptilostemon hispanicus], and, sometimes, [Lavandula lanata], [Catananche caerulea], [Teucrium polium], [Salvia candelabrum] or [Satureja graeca], of the lower meso-Mediterranean slopes of hills facing the Guadalquivir depression of eastern Andalusia."
F5.564,5,[Genista valentina] broom fields,"Formations of the arid Iberian Southeast dominated by the endemic [Genista valentina], accompanied by [Lygos sphaerocarpa] or, in the Sierra de Cartagena area, [Calicotome infesta ssp. intermedia]."
F5.565,5,[Genista retamoides] broom fields,Formations of the coast of the Sea of Alboran and of the arid Iberian southeast dominated by the endemic [Genista spartioides ssp. retamoides].
F5.566,5,[Genista haenseleri] broom fields,"Open formations of abrupt, hot, sunny slopes of the sierras de Ojen, Mijas (Unidad Blanca), southern Andalusia characterized by the presence of the striking, tall endemic broom [Genista haenseleri], associated with [Phlomis purpurea ssp. purpurea], [Ulex parviflorus ssp. willkommii], [Genista umbellata ssp. equisetiformis], [Thymus capitatus], [Teucrium fruticans]."
F5.567,5,[Genista ramosissima] broom fields,"Formations characterized by the presence of the usually dominant, non-spiny broom [Genista ramosissima] of southeastern Spain and North Africa."
F5.568,5,Thermo-mediterranean [Lygos raetam] brush,"Retama fields formed in coastal regions and on maritime sands of southern Sicily, North Africa and eastern Spain by [Lygos raetam ssp. gussonei], [Lygos raetam ssp. duraiei] and [Lygos raetam ssp. sarcocarpa], close relatives of the widespread retam, [Lygos raetam ssp. raetam], of the desert and subdesert regions."
F5.569,5,Eolian broomfields,"Thermo-Mediterranean formations of volcanic rocks and sands of Stromboli and Vulcano dominated by the very tall Eolian endemic broom [Cytisus aeolicus], with the Tyrrhenian insular endemic [Centaurea aeolica]."
F5.56A,5,[Genista ephedroides] broomfields,"Thermo-Mediterranean formations dominated by the Tyrrhenian endemic [Genista ephedroides], often on steep rocky substrates, restricted to a few localities on western and northern Sardinian headlands, on the island of Zannone, Circeo National Park (Latium), on the north coast of Sicily, on the Eolian and Ponsian islands and along the Cilento coast (Campania)."
F5.56B,5,Ibiza broomfields,"Formations characterized by the remarkable, tall Ibiza endemic [Genista dorycnifolia], accompanied by the eastern Iberian [Chronanthus biflorus] ([Cytisus fontanesii])."
F5.56C,5,[Genista pseudoretamoides] broom fields,North African scrub formed by the tall [Genista spartioides ssp. pseudoretamoides].
F5.57,4,Mediterranean gorse-heaths,"Western Mediterranean formations, for the most part limited to the lower meso-mediterranean and thermo-mediterranean zones of the western Iberian peninsula, with outposts in western Morocco, dominated by gorse ([Ulex] spp., [Stauracanthus] spp.) of thermo-Mediterranean affinities, or by the spiny, globular broom [Genista hirsuta], accompanied by a cortège of plants characteristic of the meso- and thermo-mediterranean cistus maquis (F5.23), thermo-mediterranean scrub (F5.51) or, occasionally, meso-mediterranean garrigues (F6.1). Other thermo-mediterranean gorse formations will be found among the more specialised extreme southern Iberian endemic communities listed under F5.55, F5.58, F5.59, F5.5A-F5.5C."
F5.571,5,Monchique [Ulex argenteus] gorse-heaths,"[Ulex argenteus ssp. argenteus]-dominated or -rich formations of low slopes of the Serra da Monchique and neighbouring areas of Algarve and southwest Alentejo, usually with [Cistus ladanifer]. The gorse is endemic to the area."
F5.572,5,Lusitanian [Ulex densus] gorse-heaths,"Cushion-heaths of [Ulex densus] formed in substitution stages of the [Melico-Cocciferetum] on dry, calcareous coastal hills of the Tejo and Estremadura regions of central-western Portugal; the gorse is endemic to the area. "
F5.573,5,Morena [Ulex eriocladus] gorse heaths,"Formations of the western Sierra Morena (Sierra de Aracena, Badajos region, southeastern Portugal) dominated by [Ulex eriocladus], developed mostly in the meso-Mediterranean zone and locally in contact with [Erica umbellata] heaths; the gorse is endemic to the area."
F5.574,5,[Ulex parviflorus] gorse-heaths,"[Ulex parviflorus ssp. parviflorus]-dominated formations of central-western Portugal, southern and eastern Spain and southern France and coastal North Africa, locally distributed on calcareous or siliceous substrates of the thermo-Mediterranean and lower meso-Mediterranean zones, occasionally ascending to higher elevations. Communities including the related [Ulex parviflorus ssp. willkommii], [Ulex baeticus] and [Ulex australis] are listed under units F5.58, F5.5A and F5.5C, clearly meso-Mediterranean formations under unit F6.1H."
F5.575,5,[Stauracanthus spectabilis] gorse-heaths,[Stauracanthus genistoides ssp. spectabilis]-dominated formations; the gorse has a very restricted distribution on the coast of Alentejo and in Morocco.
F5.576,5,Luso-Extremaduran [Genista hirsuta] gorse-heaths,"[Genista hirsuta]-dominated formations of thermo- and meso-Mediterranean Luso-Extremaduran regions, widespread and physiognomically striking by the hemispherical port of the shrub, similar to that of many gorses and of phrygana species."
F5.58,4,Iberian thermo-Mediterranean garrigues,"Mostly calcicolous, open garrigues of the extreme south of the Iberian peninsula characterized by the abundance of [Phlomis purpurea ssp. purpurea], [Ulex parviflorus ssp. willkommii], [Genista umbellata ssp. equisetiformis], [Thymus eryanthus], [Thymus capitatus], [Micromeria graeca], [Teucrium polium], [Calicotome villosa], [Asperula hirsuta]."
F5.581,5,Baetic garrigues,"Varied calcicolous formations of Baetic hills of southern Spain; they may be dominated by any of a number of characteristic species of the class, and in particular by [Thymus capitatus], [Teucrium polium], [Helianthemum hirtum], [Phlomis purpurea ssp. purpurea] or [Ulex parviflorus ssp. willkommii]; they occur locally throughout the entire Baetic area. A few communities, remarkable for the dominance of less widespread, often endemic, usually striking species, and, in many cases, for their adaptation to non-calcareous soils or to outlying areas, have been listed separately."
F5.582,5,Ronda [Ononis speciosa] garrigues,"Spectacular formations dominated by the endemic shrub [Ononis speciosa] with [Bupleurum gibraltarium], [Thymus capitatus], [Micromeria graeca], [Phlomis purpurea ssp. purpurea], [Ulex parviflorus ssp. willkommii], [Genista umbellata ssp. equisetiformis], [Calicotome villosa], [Satureja obovata], [Ptilostemon hispanicus], locally distributed in calcareous areas of the Serrania de Ronda and satellite ranges in southern Spain."
F5.583,5,Guadalquivir [Genista equisetiformis] garrigues,"Sub-Baetic formations of calcareous hills lining the Guadalquivir depression of Andalusia with the large cushion-forming [Genista umbellata ssp. equisetiformis] and [Chronanthus biflorus] accompanied by [Thymus capitatus], [Thymus eryanthus] and [Ulex parviflorus ssp. willkommii]."
F5.584,5,Alboran [Genista equisetiformis] garrigues,"Acidophilous formations limited to rare enclaves of the slopes above the Sea of Alboran, with [Genista umbellata ssp. equisetiformis], [Ulex parviflorus ssp. willkommii], [Calicotome villosa], [Lavandula stoechas ssp. stoechas], [Adenocarpus grandiflorus]."
F5.585,5,Andalusian magnesium garrigues,"[Ulex baeticus]-dominated or -rich formations of ultra-basic dolomites, serpentines and peridotites of the Serrania de Ronda and its peripheral ranges."
F5.5851,6,Ronda dolomite garrigues,"Dolomitic formations with [Ulex baeticus], [Phlomis purpurea ssp. purpurea], [Cistus clusii], [Halimium viscosum], [Euphorbia baetica], [Linaria clementei] and, sometimes, [Genista haenseleri] of the Serrania de Ronda, Sierra Blanquilla, de Ojen and surrounding areas."
F5.5852,6,Ronda serpentine and peridotite garrigues,"Formations of serpentines and peridotites of the Sierra de Carratraca and a few nearby stations of the Serrania de Ronda with [Ulex baeticus] (or sometimes [Genista umbellata ssp. equisetiformis]), [Galium boissieranum], [Staehelina baetica], [Centaurea carratracensis]."
F5.5853,6,Bermeja [Ulex] garrigues,Formations of the Sierra Bermeja dominated by [Ulex baeticus].
F5.586,5,Bermeja [Halimium] garrigues,"Tall [Halimium atriplicifolium] formations of the peridotites of the Sierra Bermeja (Andalucia) with [Phlomis purpurea ssp. purpurea], [Genista lanuginosa], [Genista hirsuta], [Lavandula stoechas]."
F5.59,4,[Stauracanthus boivinii] gorse-heaths,"Highly distinctive formations, dominated by the endemic gorse [Stauracanthus boivinii], limited to a few locations with siliceous, oligotrophic soils and high precipitation of the thermo- and lower meso-mediterranean zone of the vicinity of the Straits of Gibraltar and the southern shores of the Sea of Alboran."
F5.591,5,Aljibe [Stauracanthus boivinii] gorse-heaths,"Formations of the sierras del Aljibe, Blanquilla, del Nino and de Ojen (Andalucia) with the Gibraltar endemics [Genista tridens] and [Bupleurum foliosum]."
F5.592,5,Algarve [Stauracanthus boivinii] gorse-heaths,"Very local formation of the coast of the Algarve, with [Genista triacanthos], [Erica umbellata], [Calluna vulgaris] and [Tuberaria major]. "
F5.593,5,North African [Stauracanthus boivinii] gorse-heaths,"African formations dominated by [Stauracanthus boivinii], distributed in the thermo- and lower meso-Mediterranean zone of the vicinity of the Straits of Gibraltar and the southern shores of the Sea of Alboran."
F5.5A,4,Western Tethyan xero-psammitic brushes,"Open scrub formed by [Stauracanthus genistoides ssp. genistoides], [Halimium halimifolium], [Halimium commutatum] or [Cistus libanotis] ([Cistus bourgaeanus]), highly adapted to the extreme aridity and oligotrophy of fossil dunes and other deep, fixed sands with very low water table of coastal areas of the western Mediterranean basin and the subtropical Atlantic, particularly developed in the southwestern Iberian peninsula."
F5.5A1,5,"Southern Andalusian ""monte blanco""","Xero-psammitic scrub of the coasts of the Gulf of Cadiz, between the estuaries of the rios Guadalete, Guadalquivir and Tinto, particularly characteristic of the Coto Donana (""monte blanco""), in which [Stauracanthus genistoides ssp. genistoides], [Halimium halimifolium], [Halimium commutatum] and [Cistus libanotis] ([Cistus bourgaeanus]) are accompanied by, in particular, [Lavandula stoechas ssp. lusitanica], [Armeria velutina] and [Thymus tomentosus] and, in the wide transition zone with the ""monte negro"", by [Ulex australis] and [Erica scoparia]. The ""monte blanco"" is an important habitat for several threatened or rare vertebrates, including [Lynx pardellus], [Genetta genetta], [Felis sylvestris], [Dama dama], [Aquila adalberti]."
F5.5A2,5,Guadalquivir xero-psammitic brushes,"Somewhat transitional xero-psammitic scrub of inland sands of the Guadalquivir valley with [Stauracanthus genistoides ssp. genistoides], [Halimium halimifolium], [Halimium commutatum], [Halimium viscosum], [Genista hirsuta], [Cistus libanotis] ([Cistus bourgaeanus]), [Cistus crispus] and elements of thermo-Mediterranean brushes."
F5.5A3,5,Algarve xero-psammitic brushes,"Very local xero-psammitic scrub of the Algarve coast with
[Stauracanthus genistoides ssp. genistoides], [Halimium halimifolium], [Halimium commutatum], [Cistus libanotis] ([Cistus bourgaeanus]), [Lavandula stoechas ssp. lusitanica], [Armeria macrophylla] and the extremely narrow endemic [Ulex argenteus ssp. subsericeus]."
F5.5A4,5,Lusitanian xero-psammitic brushes,"Xero-psammitic scrub of sands of the Atlantic coast of Portugal with
[Stauracanthus genistoides ssp. genistoides], [Halimium halimifolium], [Halimium commutatum], [Cistus libanotis] ([Cistus bourgaeanus]), [Helichrysum italicum] and [Corema album]."
F5.5A5,5,Western Mediterranean xero-psammitic brushes,"Xero-psammitic scrub of coastal sands of Tyrrhenian islands and Italy, dominated by [Halimium halimifolium]."
F5.5B,4,Cabo de Sao Vicente brushes,"Low brush and garrigue formations of the dolomitic tableland, karsts, sands and terra-rosas of the vicinity of Cape San Vicente, with dwarf [Juniperus phoenicea ssp. lycia], [Cistus palhinhae], [Ulex argenteus ssp. erinaceus], rich in endemics."
F5.5C,4,Thermo-Mediterranean heaths,"Closed formations of heather, gorse and halimium constituting the extensive ""monte negro"" of the Coto Doñana; alternating with the xerophile ""monte blanco"" (unit F5.5A1), they occupy deep, sandy, oligotrophic soils with a water table close to the surface; their composition includes an admixture of thermo-Mediterranean and Atlantic heath species together with local endemics. Particularly characteristic in the Guadalquivir area, they are locally represented north to the Sado-Tago river area of coastal Portugal."
F5.5C1,5,Dry Andalusian [monte negro],"Formations of higher ground with the endemic gorse [Ulex australis], [Erica scoparia], [Calluna vulgaris], [Genista triacanthos], [Erica umbellata], [Halimium halimifolium], [Cistus salvifolius]."
